##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	subsampled_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2255622
Sequences flagged as poor quality	0
Sequence length	150
%GC	54
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.95474906699793	37.0	37.0	37.0	37.0	37.0
2	36.15470100930032	37.0	37.0	37.0	37.0	37.0
3	36.23862952214511	37.0	37.0	37.0	37.0	37.0
4	36.227685755858026	37.0	37.0	37.0	37.0	37.0
5	36.22286180929252	37.0	37.0	37.0	37.0	37.0
6	36.187261429441634	37.0	37.0	37.0	37.0	37.0
7	36.182450782976936	37.0	37.0	37.0	37.0	37.0
8	36.23294284237341	37.0	37.0	37.0	37.0	37.0
9	36.227183012047234	37.0	37.0	37.0	37.0	37.0
10-14	36.22825375883016	37.0	37.0	37.0	37.0	37.0
15-19	36.19318600368324	37.0	37.0	37.0	37.0	37.0
20-24	36.15936420198065	37.0	37.0	37.0	37.0	37.0
25-29	36.10555669345307	37.0	37.0	37.0	37.0	37.0
30-34	36.05731199642493	37.0	37.0	37.0	37.0	37.0
35-39	36.01228565779195	37.0	37.0	37.0	37.0	37.0
40-44	35.97504360216384	37.0	37.0	37.0	37.0	37.0
45-49	35.92794164979771	37.0	37.0	37.0	37.0	37.0
50-54	35.88075431078434	37.0	37.0	37.0	37.0	37.0
55-59	35.83244683728036	37.0	37.0	37.0	37.0	37.0
60-64	35.78121263225842	37.0	37.0	37.0	37.0	37.0
65-69	35.731211257914666	37.0	37.0	37.0	37.0	37.0
70-74	35.68332761428998	37.0	37.0	37.0	37.0	37.0
75-79	35.61814568221094	37.0	37.0	37.0	37.0	37.0
80-84	35.57002547412643	37.0	37.0	37.0	37.0	37.0
85-89	35.52025649687758	37.0	37.0	37.0	37.0	37.0
90-94	35.47381538218727	37.0	37.0	37.0	37.0	37.0
95-99	35.40625636742326	37.0	37.0	37.0	37.0	37.0
100-104	35.33134895829177	37.0	37.0	37.0	37.0	37.0
105-109	35.28078490101622	37.0	37.0	37.0	37.0	37.0
110-114	35.2349771371267	37.0	37.0	37.0	34.6	37.0
115-119	35.140254883132016	37.0	37.0	37.0	25.0	37.0
120-124	35.09211578890435	37.0	37.0	37.0	25.0	37.0
125-129	34.964279475905094	37.0	37.0	37.0	25.0	37.0
130-134	34.92248878579833	37.0	37.0	37.0	25.0	37.0
135-139	34.78974978963673	37.0	37.0	37.0	25.0	37.0
140-144	34.74186499333665	37.0	37.0	37.0	25.0	37.0
145-149	34.63204552890511	37.0	37.0	37.0	25.0	37.0
150	34.53585574178652	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.23370867991003053
1101	2	0.03764416527992864
1101	3	-0.09053097408106225
1101	4	0.03945349623343475
1101	5	-0.2447377055912625
1101	6	0.08217953162237279
1101	7	-0.6211896418001217
1101	8	-0.09222497922812778
1101	9	0.08985964702895188
1101	10-14	-0.2595752979617032
1101	15-19	-0.3022239833890623
1101	20-24	-0.18507188736452207
1101	25-29	-0.4778522642574643
1101	30-34	-0.5097335184471632
1101	35-39	-0.3319497420728652
1101	40-44	-0.21726672570990502
1101	45-49	-0.3908966555003488
1101	50-54	-0.18559113563807017
1101	55-59	-0.4270719680925126
1101	60-64	-0.5264821139724347
1101	65-69	-0.2172478350239615
1101	70-74	-0.495280531926106
1101	75-79	-0.38657943544388473
1101	80-84	-0.3523600144921488
1101	85-89	-0.5920790304457242
1101	90-94	-0.4099423573574228
1101	95-99	-0.5403456532923556
1101	100-104	-0.3640219448187878
1101	105-109	-0.5081605431323908
1101	110-114	-0.3794090149333371
1101	115-119	-0.7441700629041179
1101	120-124	-0.19586580569360734
1101	125-129	-0.8465028437262276
1101	130-134	-0.9669641620457199
1101	135-139	-0.7174495985131912
1101	140-144	-0.6109025859091162
1101	145-149	-0.8085955442911512
1101	150	-0.9576365047202557
1102	1	0.47623757076840434
1102	2	-0.20631122453396245
1102	3	-0.059787062461047924
1102	4	0.05163901017849781
1102	5	-0.012302528673707513
1102	6	-0.06331130298028143
1102	7	0.07468023932108991
1102	8	-0.06134100422944044
1102	9	0.0014796550825977306
1102	10-14	0.018093347100197832
1102	15-19	-0.18251881680117066
1102	20-24	0.11918078697062384
1102	25-29	-0.10976570508944405
1102	30-34	0.05220075681238967
1102	35-39	-0.19214548064456238
1102	40-44	-0.11028631707499414
1102	45-49	-0.011310892942795192
1102	50-54	-0.15558255675612287
1102	55-59	0.07583259622284544
1102	60-64	-0.07751595678631418
1102	65-69	0.03000604735780854
1102	70-74	-0.12325819181721442
1102	75-79	0.2021979863394776
1102	80-84	0.07744547249070877
1102	85-89	-0.21411099991190952
1102	90-94	-0.0955420912370073
1102	95-99	-0.18120214085297448
1102	100-104	-0.13770753754949538
1102	105-109	-0.0677802710592772
1102	110-114	0.13107998133747856
1102	115-119	0.15230559232988128
1102	120-124	0.051598171756182865
1102	125-129	-0.09647045406991595
1102	130-134	0.20556240622642008
1102	135-139	-0.009786380907229386
1102	140-144	0.06092541626186687
1102	145-149	-0.032056160219859464
1102	150	-0.31985790990609786
1103	1	0.111092342552638
1103	2	0.05095018625442549
1103	3	0.07299302052650347
1103	4	0.010145234244888002
1103	5	0.24495888211467332
1103	6	-0.17119512040766693
1103	7	0.34853916048291467
1103	8	-0.003249717922386708
1103	9	0.3168323521780323
1103	10-14	0.2023257122454183
1103	15-19	0.07972184709924335
1103	20-24	0.011296969543238333
1103	25-29	-0.048354916707701534
1103	30-34	0.21319660743480284
1103	35-39	0.2510080463263904
1103	40-44	-0.1451410888592335
1103	45-49	-0.012970643980139585
1103	50-54	0.09006059677085432
1103	55-59	0.24180769995728468
1103	60-64	0.035347113753111614
1103	65-69	0.20096040420428807
1103	70-74	0.059314422290668745
1103	75-79	0.08767516476270742
1103	80-84	0.06250771315460213
1103	85-89	0.14439522415447215
1103	90-94	-0.2266624231872143
1103	95-99	0.22211736122171288
1103	100-104	-0.136047786512151
1103	105-109	-0.04952300964848888
1103	110-114	-0.08136815144261789
1103	115-119	0.3929694927448182
1103	120-124	0.21259402237859604
1103	125-129	0.21556274095083694
1103	130-134	0.02298979211853691
1103	135-139	-0.17908098671635742
1103	140-144	-0.012103629381286396
1103	145-149	-0.20467026810367628
1103	150	-0.14558405098493665
1104	1	-0.037033283431057384
1104	2	-0.3848060020414721
1104	3	-0.522693057596264
1104	4	0.29087209073365017
1104	5	-0.35258726182580347
1104	6	-0.20088463249809507
1104	7	-0.17778792493703577
1104	8	-0.19698272693655383
1104	9	-0.10572452291139456
1104	10-14	-0.06969460539659167
1104	15-19	-0.2692980412968069
1104	20-24	0.15477243098263926
1104	25-29	-0.2661543157633588
1104	30-34	0.017496221113439958
1104	35-39	-0.08460505998353085
1104	40-44	0.03175117040533593
1104	45-49	0.011904159282131843
1104	50-54	0.15518436268871483
1104	55-59	0.21775561811438848
1104	60-64	-0.02454700557726852
1104	65-69	0.04359168192641505
1104	70-74	-0.38610695415803775
1104	75-79	-0.08687770403111017
1104	80-84	-0.23416563067139862
1104	85-89	-0.20916036319707132
1104	90-94	-0.3862918408435334
